NCollector_version,Path,Info_Sheet,File_Name,Date,Main_Plasmids,Applied_Exclusions,Is_Excluded,Is_Vehicle,Transfection,Cell_Line,Ligand,Ligand_Conc,Plate_Row,Replicate,Well_ID,Time_(min),PR_Time(min),Donor_Raw_kinetic,Acceptor_Raw_kinetic,Raw_BRET_unexcluded,Raw_BRET_kinetic,Lab_BRET_kinetic,Bl_Corrected_BRET,Veh_Norm_Kinetic,Kinetic_Mean,Raw_BRET_CRC,Lab_LP,Bl_LP,Veh_Norm_LP,LP_Mean,Lab_AUC,Bl_AUC,Veh_Norm_AUC,AUC_Mean
N Collector v2.0.5,C:/path/to/example data,,measurement_01.xlsx,2026-01-01,RET-donor,None,False,False,RET-acceptor1,Line_A,ligand_1,-5.0,A,1,A1,-5.0,0.0,279786,55223,0.19737585154367981,0.19737585,,0.9716052941462735,0.9793465498067431,0.9834990150084805,0.20028553999999998,,0.9859285774067357,1.0193308109255994,1.0188369485749769,,19.774528191239416,1.012956694068773,1.015172097024529
N Collector v2.0.5,C:/path/to/example data,,measurement_01.xlsx,2026-01-01,RET-donor,None,False,False,RET-acceptor1,Line_A,ligand_1,-5.0,A,1,A1,-4.0,1.0,353860,72216,0.20408070988526536,0.20408071,,1.004610737682094,1.0056888550557148,1.0011585085787604,0.20028553999999998,,0.9859285774067357,1.0193308109255994,1.0188369485749769,,19.774528191239416,1.012956694068773,1.015172097024529
N Collector v2.0.5,C:/path/to/example data,,measurement_01.xlsx,2026-01-01,RET-donor,None,False,False,RET-acceptor1,Line_A,ligand_1,-5.0,A,1,A1,-3.0,2.0,372431,76111,0.20436268731657675,0.20436269,,1.005998816623076,1.0023902762614971,1.002586797130832,0.20028553999999998,,0.9859285774067357,1.0193308109255994,1.0188369485749769,,19.774528191239416,1.012956694068773,1.015172097024529
N Collector v2.0.5,C:/path/to/example data,,measurement_01.xlsx,2026-01-01,RET-donor,None,False,False,RET-acceptor1,Line_A,ligand_1,-5.0,A,1,A1,-2.0,3.0,376736,76920,0.20417480676123334,0.20417481,,1.0050739557413408,1.0008644854998316,1.005552232503036,0.20028553999999998,,0.9859285774067357,1.0193308109255994,1.0188369485749769,,19.774528191239416,1.012956694068773,1.015172097024529
N Collector v2.0.5,C:/path/to/example data,,measurement_01.xlsx,2026-01-01,RET-donor,None,False,False,RET-acceptor1,Line_A,ligand_1,-5.0,A,1,A1,-1.0,4.0,373297,76797,0.20572627157464432,0.20572627,,1.012711195807216,1.011526940505495,1.0070333580555513,0.20028553999999998,,0.9859285774067357,1.0193308109255994,1.0188369485749769,,19.774528191239416,1.012956694068773,1.015172097024529
N Collector v2.0.5,C:/path/to/example data,,measurement_01.xlsx,2026-01-01,RET-donor,None,False,False,RET-acceptor1,Line_A,ligand_1,-5.0,A,1,A1,0.0,5.93,287292,57280,0.19937902900185178,0.19937903,,0.9814661778011278,0.9964698617237336,0.9930077222321659,0.20028553999999998,,0.9859285774067357,1.0193308109255994,1.0188369485749769,,19.774528191239416,1.012956694068773,1.015172097024529
N Collector v2.0.5,C:/path/to/example data,,measurement_01.xlsx,2026-01-01,RET-donor,None,False,False,RET-acceptor1,Line_A,ligand_1,-5.0,A,1,A1,1.0,6.93,291478,58454,0.20054343724054646,0.20054344,,0.987198119781653,1.0037596947308323,1.003430574130639,0.20028553999999998,,0.9859285774067357,1.0193308109255994,1.0188369485749769,,19.774528191239416,1.012956694068773,1.015172097024529
N Collector v2.0.5,C:/path/to/example data,,measurement_01.xlsx,2026-01-01,RET-donor,None,False,False,RET-acceptor1,Line_A,ligand_1,-5.0,A,1,A1,2.0,7.93,285615,57247,0.20043415086742644,0.20043415,,0.9866601272025343,1.001535249456073,1.007364156398116,0.20028553999999998,,0.9859285774067357,1.0193308109255994,1.0188369485749769,,19.774528191239416,1.012956694068773,1.015172097024529
N Collector v2.0.5,C:/path/to/example data,,measurement_01.xlsx,2026-01-01,RET-donor,None,False,False,RET-acceptor1,Line_A,ligand_1,-5.0,A,1,A1,3.0,8.93,278179,55810,0.20062621549433998,0.20062622,,0.9876056138405737,1.006143568541248,1.0111285645458998,0.20028553999999998,,0.9859285774067357,1.0193308109255994,1.0188369485749769,,19.774528191239416,1.012956694068773,1.015172097024529
N Collector v2.0.5,C:/path/to/example data,,measurement_01.xlsx,2026-01-01,RET-donor,None,False,False,RET-acceptor1,Line_A,ligand_1,-5.0,A,1,A1,4.0,9.93,270617,54647,0.20193483779659074,0.20193484,,0.9940474461114706,1.0063686640751146,1.0081507258783462,0.20028553999999998,,0.9859285774067357,1.0193308109255994,1.0188369485749769,,19.774528191239416,1.012956694068773,1.015172097024529
